Instruction,Opcode,Valid 64-bit,Valid 32-bit,Valid 16-bit,Feature Flags,Operand 1,Operand 2,Operand 3,Operand 4,Tuple Type,Description
"VSUBPS xmm1 {k1}{z}, xmm2, xmm3/m128/m32bcst","EVEX.NDS.128.0F.W0 5C /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full Vector","Subtract packed single-precision floating-point values from xmm3/m128/m32bcst to xmm2 and stores result in xmm1 with writemask k1."
"VSUBPS ymm1 {k1}{z}, ymm2, ymm3/m256/m32bcst","EVEX.NDS.256.0F.W0 5C /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full Vector","Subtract packed single-precision floating-point values from ymm3/m256/m32bcst to ymm2 and stores result in ymm1 with writemask k1."
"VSUBPS zmm1 {k1}{z}, zmm2, zmm3/m512/m32bcst{er}","EVEX.NDS.512.0F.W0 5C /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full Vector","Subtract packed single-precision floating-point values in zmm3/m512/m32bcst from zmm2 and stores result in zmm1 with writemask k1."
"SUBSD xmm1, xmm2/m64","F2 0F 5C /r","Valid","Valid","Invalid","SSE2","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","NA","Subtract the low double-precision floating-point value in xmm2/m64 from xmm1 and store the result in xmm1."
"VSUBSD xmm1,xmm2, xmm3/m64","VEX.NDS.LIG.F2.0F.WIG 5C /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","NA","Subtract the low double-precision floating-point value in xmm3/m64 from xmm2 and store the result in xmm1."
"VSUBSD xmm1 {k1}{z}, xmm2, xmm3/m64{er}","EVEX.NDS.LIG.F2.0F.W1 5C /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Tuple1 Scalar","Subtract the low double-precision floating-point value in xmm3/m64 from xmm2 and store the result in xmm1 under writemask k1."
"SUBSS xmm1, xmm2/m32","F3 0F 5C /r","Valid","Valid","Invalid","SSE","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","NA","Subtract the low single-precision floating-point value in xmm2/m32 from xmm1 and store the result in xmm1."
"VSUBSS xmm1,xmm2, xmm3/m32","VEX.NDS.LIG.F3.0F.WIG 5C /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","NA","Subtract the low single-precision floating-point value in xmm3/m32 from xmm2 and store the result in xmm1."
"VSUBSS xmm1 {k1}{z}, xmm2, xmm3/m32{er}","EVEX.NDS.LIG.F3.0F.W0 5C /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Tuple1 Scalar","Subtract the low single-precision floating-point value in xmm3/m32 from xmm2 and store the result in xmm1 under writemask k1."
"SWAPGS","0F 01 F8","Valid","Invalid","Invalid","","NA","NA","NA","NA","","Exchanges the current GS base register value with the value contained in MSR address C0000102H."
"SYSCALL","0F 05","Valid","Invalid","Invalid","","NA","NA","NA","NA","","Fast call to privilege level 0 system procedures."
"SYSENTER","0F 34","Valid","Valid","Valid","","NA","NA","NA","NA","","Fast call to privilege level 0 system procedures."
"SYSEXIT","0F 35","Valid","Valid","Valid","","NA","NA","NA","NA","","Fast return to privilege level 3 user code."
"SYSEXIT","REX.W + 0F 35","Valid","Invalid","Invalid","","NA","NA","NA","NA","","Fast return to 64-bit mode privilege level 3 user code."
"SYSRET","0F 07","Valid","Invalid","Invalid","","NA","NA","NA","NA","","Return to compatibility mode from fast system call"
"SYSRET","REX.W + 0F 07","Valid","Invalid","Invalid","","NA","NA","NA","NA","","Return to 64-bit mode from fast system call"
"TEST AL, imm8","A8 ib","Valid","Valid","Valid","","AL/AX/EAX/RAX","imm8/16/32","NA","NA","","AND imm8 with AL; set SF, ZF, PF according to result."
"TEST AX, imm16","A9 iw","Valid","Valid","Valid","","AL/AX/EAX/RAX","imm8/16/32","NA","NA","","AND imm16 with AX; set SF, ZF, PF according to result."
"TEST EAX, imm32","A9 id","Valid","Valid","Valid","","AL/AX/EAX/RAX","imm8/16/32","NA","NA","","AND imm32 with EAX; set SF, ZF, PF according to result."
"TEST RAX, imm32","REX.W + A9 id","Valid","Invalid","Invalid","","AL/AX/EAX/RAX","imm8/16/32","NA","NA","","AND imm32 sign-extended to 64-bits with RAX; set SF, ZF, PF according to result."
"TEST r/m8, imm8","F6 /0 ib","Valid","Valid","Valid","","ModRM:r/m (r)","imm8/16/32","NA","NA","","AND imm8 with r/m8; set SF, ZF, PF according to result."
"TEST r/m8, imm8","REX + F6 /0 ib","Valid","Invalid","Invalid","","ModRM:r/m (r)","imm8/16/32","NA","NA","","AND imm8 with r/m8; set SF, ZF, PF according to result."
"TEST r/m16, imm16","F7 /0 iw","Valid","Valid","Valid","","ModRM:r/m (r)","imm8/16/32","NA","NA","","AND imm16 with r/m16; set SF, ZF, PF according to result."
"TEST r/m32, imm32","F7 /0 id","Valid","Valid","Valid","","ModRM:r/m (r)","imm8/16/32","NA","NA","","AND imm32 with r/m32; set SF, ZF, PF according to result."
"TEST r/m64, imm32","REX.W + F7 /0 id","Valid","Invalid","Invalid","","ModRM:r/m (r)","imm8/16/32","NA","NA","","AND imm32 sign-extended to 64-bits with r/m64; set SF, ZF, PF according to result."
"TEST r/m8, r8","84 /r","Valid","Valid","Valid","","ModRM:r/m (r)","ModRM:reg (r)","NA","NA","","AND r8 with r/m8; set SF, ZF, PF according to result."
"TEST r/m8, r8","REX + 84 /r","Valid","Invalid","Invalid","","ModRM:r/m (r)","ModRM:reg (r)","NA","NA","","AND r8 with r/m8; set SF, ZF, PF according to result."
"TEST r/m16, r16","85 /r","Valid","Valid","Valid","","ModRM:r/m (r)","ModRM:reg (r)","NA","NA","","AND r16 with r/m16; set SF, ZF, PF according to result."
"TEST r/m32, r32","85 /r","Valid","Valid","Valid","","ModRM:r/m (r)","ModRM:reg (r)","NA","NA","","AND r32 with r/m32; set SF, ZF, PF according to result."
"TEST r/m64, r64","REX.W + 85 /r","Valid","Invalid","Invalid","","ModRM:r/m (r)","ModRM:reg (r)","NA","NA","","AND r64 with r/m64; set SF, ZF, PF according to result."
"TZCNT r16, r/m16","F3 0F BC /r","Valid","Valid","Invalid","BMI1","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","","Count the number of trailing zero bits in r/m16, return result in r16."
"TZCNT r32, r/m32","F3 0F BC /r","Valid","Valid","Invalid","BMI1","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","","Count the number of trailing zero bits in r/m32, return result in r32."
"TZCNT r64, r/m64","F3 REX.W 0F BC /r","Valid","Invalid","Invalid","BMI1","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","","Count the number of trailing zero bits in r/m64, return result in r64."
"UCOMISD xmm1, xmm2/m64","66 0F 2E /r","Valid","Valid","Invalid","SSE2","ModRM:reg (r)","ModRM:r/m (r)","NA","NA","NA","Compare low double-precision floating-point values in xmm1 and xmm2/mem64 and set the EFLAGS flags accordingly."
"VUCOMISD xmm1, xmm2/m64","VEX.LIG.66.0F.WIG 2E /r","Valid","Valid","Invalid","AVX","ModRM:reg (r)","ModRM:r/m (r)","NA","NA","NA","Compare low double-precision floating-point values in xmm1 and xmm2/mem64 and set the EFLAGS flags accordingly."
"VUCOMISD xmm1, xmm2/m64{sae}","EVEX.LIG.66.0F.W1 2E /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","Tuple1 Scalar","Compare low double-precision floating-point values in xmm1 and xmm2/m64 and set the EFLAGS flags accordingly."
"UCOMISS xmm1, xmm2/m32","NP 0F 2E /r","Valid","Valid","Invalid","SSE","ModRM:reg (r)","ModRM:r/m (r)","NA","NA","NA","Compare low single-precision floating-point values in xmm1 and xmm2/mem32 and set the EFLAGS flags accordingly."
"VUCOMISS xmm1, xmm2/m32","VEX.LIG.0F.WIG 2E /r","Valid","Valid","Invalid","AVX","ModRM:reg (r)","ModRM:r/m (r)","NA","NA","NA","Compare low single-precision floating-point values in xmm1 and xmm2/mem32 and set the EFLAGS flags accordingly."
"VUCOMISS xmm1, xmm2/m32{sae}","EVEX.LIG.0F.W0 2E /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","Tuple1 Scalar","Compare low single-precision floating-point values in xmm1 and xmm2/mem32 and set the EFLAGS flags accordingly."
"UD0","0F FF","Valid","Valid","Valid","","NA","NA","NA","NA","","Raise invalid opcode exception."
"UD1 r32, r/m32","0F B9 /r","Valid","Valid","Valid","","ModRM:reg (r)","ModRM:r/m (r)","NA","NA","","Raise invalid opcode exception."
"UD2","0F 0B","Valid","Valid","Valid","","NA","NA","NA","NA","","Raise invalid opcode exception."
"UNPCKHPD xmm1, xmm2/m128","66 0F 15 /r","Valid","Valid","Invalid","SSE2","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","NA","Unpacks and Interleaves double-precision floating-point values from high quadwords of xmm1 and xmm2/m128."
"VUNPCKHPD xmm1,xmm2, xmm3/m128","VEX.NDS.128.66.0F.WIG 15 /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","NA","Unpacks and Interleaves double-precision floating-point values from high quadwords of xmm2 and xmm3/m128."
"VUNPCKHPD ymm1,ymm2, ymm3/m256","VEX.NDS.256.66.0F.WIG 15 /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","NA","Unpacks and Interleaves double-precision floating-point values from high quadwords of ymm2 and ymm3/m256."
"VUNPCKHPD xmm1 {k1}{z}, xmm2, xmm3/m128/m64bcst","EVEX.NDS.128.66.0F.W1 15 /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full Vector","Unpacks and Interleaves double precision floating-point values from high quadwords of xmm2 and xmm3/m128/m64bcst subject to writemask k1."
"VUNPCKHPD ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst","EVEX.NDS.256.66.0F.W1 15 /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full Vector","Unpacks and Interleaves double precision floating-point values from high quadwords of ymm2 and ymm3/m256/m64bcst subject to writemask k1."
"VUNPCKHPD zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst","EVEX.NDS.512.66.0F.W1 15 /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full Vector","Unpacks and Interleaves double-precision floating-point values from high quadwords of zmm2 and zmm3/m512/m64bcst subject to writemask k1."
"UNPCKHPS xmm1, xmm2/m128","NP 0F 15 /r","Valid","Valid","Invalid","SSE","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","NA","Unpacks and Interleaves single-precision floating-point values from high quadwords of xmm1 and xmm2/m128."
"VUNPCKHPS xmm1, xmm2, xmm3/m128","VEX.NDS.128.0F.WIG 15 /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","NA","Unpacks and Interleaves single-precision floating-point values from high quadwords of xmm2 and xmm3/m128."
"VUNPCKHPS ymm1, ymm2, ymm3/m256","VEX.NDS.256.0F.WIG 15 /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","NA","Unpacks and Interleaves single-precision floating-point values from high quadwords of ymm2 and ymm3/m256."
"VUNPCKHPS xmm1 {k1}{z}, xmm2, xmm3/m128/m32bcst","EVEX.NDS.128.0F.W0 15 /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full Vector","Unpacks and Interleaves single-precision floating-point values from high quadwords of xmm2 and xmm3/m128/m32bcst and write result to xmm1 subject to writemask k1."
"VUNPCKHPS ymm1 {k1}{z}, ymm2, ymm3/m256/m32bcst","EVEX.NDS.256.0F.W0 15 /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full Vector","Unpacks and Interleaves single-precision floating-point values from high quadwords of ymm2 and ymm3/m256/m32bcst and write result to ymm1 subject to writemask k1."
"VUNPCKHPS zmm1 {k1}{z}, zmm2, zmm3/m512/m32bcst","EVEX.NDS.512.0F.W0 15 /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full Vector","Unpacks and Interleaves single-precision floating-point values from high quadwords of zmm2 and zmm3/m512/m32bcst and write result to zmm1 subject to writemask k1."
"UNPCKLPD xmm1, xmm2/m128","66 0F 14 /r","Valid","Valid","Invalid","SSE2","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","NA","Unpacks and Interleaves double-precision floating-point values from low quadwords of xmm1 and xmm2/m128."
"VUNPCKLPD xmm1,xmm2, xmm3/m128","VEX.NDS.128.66.0F.WIG 14 /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","NA","Unpacks and Interleaves double-precision floating-point values from low quadwords of xmm2 and xmm3/m128."
"VUNPCKLPD ymm1,ymm2, ymm3/m256","VEX.NDS.256.66.0F.WIG 14 /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","NA","Unpacks and Interleaves double-precision floating-point values from low quadwords of ymm2 and ymm3/m256."
"VUNPCKLPD xmm1 {k1}{z}, xmm2, xmm3/m128/m64bcst","EVEX.NDS.128.66.0F.W1 14 /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full Vector","Unpacks and Interleaves double precision floating-point values from low quadwords of xmm2 and xmm3/m128/m64bcst subject to write mask k1."
"VUNPCKLPD ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst","EVEX.NDS.256.66.0F.W1 14 /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full Vector","Unpacks and Interleaves double precision floating-point values from low quadwords of ymm2 and ymm3/m256/m64bcst subject to write mask k1."
"VUNPCKLPD zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst","EVEX.NDS.512.66.0F.W1 14 /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full Vector","Unpacks and Interleaves double-precision floating-point values from low quadwords of zmm2 and zmm3/m512/m64bcst subject to write mask k1."
"UNPCKLPS xmm1, xmm2/m128","NP 0F 14 /r","Valid","Valid","Invalid","SSE","ModRM:reg (r, w)","ModRM:r/m (r)","NA","NA","NA","Unpacks and Interleaves single-precision floating-point values from low quadwords of xmm1 and xmm2/m128."
"VUNPCKLPS xmm1,xmm2, xmm3/m128","VEX.NDS.128.0F.WIG 14 /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","NA","Unpacks and Interleaves single-precision floating-point values from low quadwords of xmm2 and xmm3/m128."
"VUNPCKLPS ymm1,ymm2,ymm3/m256","VEX.NDS.256.0F.WIG 14 /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r)","NA","NA","Unpacks and Interleaves single-precision floating-point values from low quadwords of ymm2 and ymm3/m256."
"VUNPCKLPS xmm1 {k1}{z}, xmm2, xmm3/m128/m32bcst","EVEX.NDS.128.0F.W0 14 /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full Vector","Unpacks and Interleaves single-precision floating-point values from low quadwords of xmm2 and xmm3/mem and write result to xmm1 subject to write mask k1."
"VUNPCKLPS ymm1 {k1}{z}, ymm2, ymm3/m256/m32bcst","EVEX.NDS.256.0F.W0 14 /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full Vector","Unpacks and Interleaves single-precision floating-point values from low quadwords of ymm2 and ymm3/mem and write result to ymm1 subject to write mask k1."
"VUNPCKLPS zmm1 {k1}{z}, zmm2, zmm3/m512/m32bcst","EVEX.NDS.512.0F.W0 14 /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","EVEX.vvvv (r)","ModRM:r/m (r)","NA","Full Vector","Unpacks and Interleaves single-precision floating-point values from low quadwords of zmm2 and zmm3/m512/m32bcst and write result to zmm1 subject to write mask k1."
"VALIGND xmm1 {k1}{z}, xmm2, xmm3/m128/m32bcst, imm8","EVEX.NDS.128.66.0F3A.W0 03 /r ib","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Full Vector","Shift right and merge vectors xmm2 and xmm3/m128/m32bcst with double-word granularity using imm8 as number of elements to shift, and store the final result in xmm1, under writemask."
"VALIGNQ xmm1 {k1}{z}, xmm2, xmm3/m128/m64bcst, imm8","EVEX.NDS.128.66.0F3A.W1 03 /r ib","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Full Vector","Shift right and merge vectors xmm2 and xmm3/m128/m64bcst with quad-word granularity using imm8 as number of elements to shift, and store the final result in xmm1, under writemask."
"VALIGND ymm1 {k1}{z}, ymm2, ymm3/m256/m32bcst, imm8","EVEX.NDS.256.66.0F3A.W0 03 /r ib","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Full Vector","Shift right and merge vectors ymm2 and ymm3/m256/m32bcst with double-word granularity using imm8 as number of elements to shift, and store the final result in ymm1, under writemask."
"VALIGNQ ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst, imm8","EVEX.NDS.256.66.0F3A.W1 03 /r ib","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Full Vector","Shift right and merge vectors ymm2 and ymm3/m256/m64bcst with quad-word granularity using imm8 as number of elements to shift, and store the final result in ymm1, under writemask."
"VALIGND zmm1 {k1}{z}, zmm2, zmm3/m512/m32bcst, imm8","EVEX.NDS.512.66.0F3A.W0 03 /r ib","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Full Vector","Shift right and merge vectors zmm2 and zmm3/m512/m32bcst with double-word granularity using imm8 as number of elements to shift, and store the final result in zmm1, under writemask."
"VALIGNQ zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst, imm8","EVEX.NDS.512.66.0F3A.W1 03 /r ib","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Full Vector","Shift right and merge vectors zmm2 and zmm3/m512/m64bcst with quad-word granularity using imm8 as number of elements to shift, and store the final result in zmm1, under writemask."
"VBLENDMPD xmm1 {k1}{z}, xmm2, xmm3/m128/m64bcst","EVEX.NDS.128.66.0F38.W1 65 /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Full Vector","Blend double-precision vector xmm2 and double-precision vector xmm3/m128/m64bcst and store the result in xmm1, under control mask."
"VBLENDMPD ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst","EVEX.NDS.256.66.0F38.W1 65 /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Full Vector","Blend double-precision vector ymm2 and double-precision vector ymm3/m256/m64bcst and store the result in ymm1, under control mask."
"VBLENDMPD zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst","EVEX.NDS.512.66.0F38.W1 65 /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Full Vector","Blend double-precision vector zmm2 and double-precision vector zmm3/m512/m64bcst and store the result in zmm1, under control mask."
"VBLENDMPS xmm1 {k1}{z}, xmm2, xmm3/m128/m32bcst","EVEX.NDS.128.66.0F38.W0 65 /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Full Vector","Blend single-precision vector xmm2 and single-precision vector xmm3/m128/m32bcst and store the result in xmm1, under control mask."
"VBLENDMPS ymm1 {k1}{z}, ymm2, ymm3/m256/m32bcst","EVEX.NDS.256.66.0F38.W0 65 /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Full Vector","Blend single-precision vector ymm2 and single-precision vector ymm3/m256/m32bcst and store the result in ymm1, under control mask."
"VBLENDMPS zmm1 {k1}{z}, zmm2, zmm3/m512/m32bcst","EVEX.NDS.512.66.0F38.W0 65 /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","EVEX.vvvv","ModRM:r/m (r)","NA","Full Vector","Blend single-precision vector zmm2 and single-precision vector zmm3/m512/m32bcst using k1 as select control and store the result in zmm1."
"VBROADCASTSS xmm1, m32","VEX.128.66.0F38.W0 18 /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","NA","Broadcast single-precision floating-point element in mem to four locations in xmm1."
"VBROADCASTSS ymm1, m32","VEX.256.66.0F38.W0 18 /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","NA","Broadcast single-precision floating-point element in mem to eight locations in ymm1."
"VBROADCASTSD ymm1, m64","VEX.256.66.0F38.W0 19 /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","NA","Broadcast double-precision floating-point element in mem to four locations in ymm1."
"VBROADCASTF128 ymm1, m128","VEX.256.66.0F38.W0 1A /r","Valid","Valid","Invalid","AVX","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","NA","Broadcast 128 bits of floating-point data in mem to low and high 128-bits in ymm1."
"VBROADCASTSS xmm1, xmm2","VEX.128.66.0F38.W0 18/r","Valid","Valid","Invalid","AVX2","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","NA","Broadcast the low single-precision floating-point element in the source operand to four locations in xmm1."
"VBROADCASTSS ymm1, xmm2","VEX.256.66.0F38.W0 18 /r","Valid","Valid","Invalid","AVX2","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","NA","Broadcast low single-precision floating-point element in the source operand to eight locations in ymm1."
"VBROADCASTSD ymm1, xmm2","VEX.256.66.0F38.W0 19 /r","Valid","Valid","Invalid","AVX2","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","NA","Broadcast low double-precision floating-point element in the source operand to four locations in ymm1."
"VBROADCASTSD ymm1 {k1}{z}, xmm2/m64","EVEX.256.66.0F38.W1 19 /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","Tuple1 Scalar","Broadcast low double-precision floating-point element in xmm2/m64 to four locations in ymm1 using writemask k1."
"VBROADCASTSD zmm1 {k1}{z}, xmm2/m64","EVEX.512.66.0F38.W1 19 /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","Tuple1 Scalar","Broadcast low double-precision floating-point element in xmm2/m64 to eight locations in zmm1 using writemask k1."
"VBROADCASTF32X2 ymm1 {k1}{z}, xmm2/m64","EVEX.256.66.0F38.W0 19 /r","Valid","Valid","Invalid","AVX512VL AVX512DQ","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","Tuple2","Broadcast two single-precision floating-point elements in xmm2/m64 to locations in ymm1 using writemask k1."
"VBROADCASTF32X2 zmm1 {k1}{z}, xmm2/m64","EVEX.512.66.0F38.W0 19 /r","Valid","Valid","Invalid","AVX512DQ","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","Tuple2","Broadcast two single-precision floating-point elements in xmm2/m64 to locations in zmm1 using writemask k1."
"VBROADCASTSS xmm1 {k1}{z}, xmm2/m32","EVEX.128.66.0F38.W0 18 /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","Tuple1 Scalar","Broadcast low single-precision floating-point element in xmm2/m32 to all locations in xmm1 using writemask k1."
"VBROADCASTSS ymm1 {k1}{z}, xmm2/m32","EVEX.256.66.0F38.W0 18 /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","Tuple1 Scalar","Broadcast low single-precision floating-point element in xmm2/m32 to all locations in ymm1 using writemask k1."
"VBROADCASTSS zmm1 {k1}{z}, xmm2/m32","EVEX.512.66.0F38.W0 18 /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","Tuple1 Scalar","Broadcast low single-precision floating-point element in xmm2/m32 to all locations in zmm1 using writemask k1."
"VBROADCASTF32X4 ymm1 {k1}{z}, m128","EVEX.256.66.0F38.W0 1A /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","Tuple4","Broadcast 128 bits of 4 single-precision floating-point data in mem to locations in ymm1 using writemask k1."
"VBROADCASTF32X4 zmm1 {k1}{z}, m128","EVEX.512.66.0F38.W0 1A /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","Tuple4","Broadcast 128 bits of 4 single-precision floating-point data in mem to locations in zmm1 using writemask k1."
"VBROADCASTF64X2 ymm1 {k1}{z}, m128","EVEX.256.66.0F38.W1 1A /r","Valid","Valid","Invalid","AVX512VL AVX512DQ","ModRM:reg (w)","ModRM:r/m (r)","NA","NA","Tuple2","Broadcast 128 bits of 2 double-precision floating-point data in mem to locations in ymm1 using writemask k1.VBROADCASTâ€”Load with Broadcast Floating-Point Data"
"VCOMPRESSPD xmm1/m128 {k1}{z}, xmm2","EVEX.128.66.0F38.W1 8A /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:r/m (w)","ModRM:reg (r)","NA","NA","Tuple1 Scalar","Compress packed double-precision floating-point values from xmm2 to xmm1/m128 using writemask k1."
"VCOMPRESSPD ymm1/m256 {k1}{z}, ymm2","EVEX.256.66.0F38.W1 8A /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:r/m (w)","ModRM:reg (r)","NA","NA","Tuple1 Scalar","Compress packed double-precision floating-point values from ymm2 to ymm1/m256 using writemask k1."
"VCOMPRESSPD zmm1/m512 {k1}{z}, zmm2","EVEX.512.66.0F38.W1 8A /r","Valid","Valid","Invalid","AVX512F","ModRM:r/m (w)","ModRM:reg (r)","NA","NA","Tuple1 Scalar","Compress packed double-precision floating-point values from zmm2 using control mask k1 to zmm1/m512."
"VCOMPRESSPS xmm1/m128 {k1}{z}, xmm2","EVEX.128.66.0F38.W0 8A /r","Valid","Valid","Invalid","AVX512VL AVX512F","ModRM:r/m (w)","ModRM:reg (r)","NA","NA","Tuple1 Scalar","Compress packed single-precision floating-point values from xmm2 to xmm1/m128 using writemask k1."
